artist_date_extract,artist_id,artist_name,genres,artist_followers,artist_popularity,artist_image,evolution_followers,evolution_popularity,liste_evol_followers,liste_evol_popularity
2020-12-08,656RXuyw7CE0dtjdPgjJV6,Franz Joseph Haydn,"classical, classical era",429973,59,https://i.scdn.co/image/e9a9521ffd11cf06717c699acc48c32ec6ac7d21,0.74,-3.28,"[429973, 426810, 426982, 427158, 427324, 427516, 427704]","[59, 61, 61, 61, 61, 61, 61]"
2020-12-08,65EXuYHVoehCKqp0kOS6px,Parov Stelar,"downtempo, electro swing, nu jazz, tropical house",865147,66,https://i.scdn.co/image/46925e149677c268acf11cc536fe09ce6ae2e96a,0.0,0.0,[865147],[66]
2020-12-08,65o6y7GtoXzchyiJB3r9Ur,Penny and Sparrow,"acoustic pop, indie anthem-folk, indie cafe pop, indie folk, indiecoustica, new americana, stomp and holler",72511,58,https://i.scdn.co/image/1b6b0ff60d74e678e6b8c910635ba70f3d734ccd,0.0,0.0,[72511],[58]
2020-12-08,66RfYVdftqnuHRicyClgL0,Dharius,"latin hip hop, mexican hip hop, perreo",739679,67,https://i.scdn.co/image/ca202361d9ced53ad5970ad9c2d1bdfe9e9ca435,0.0,0.0,[739679],[67]
2020-12-08,66pGC6EHiiLr7Ce6twM5bk,Bryson Gray,,25458,54,https://i.scdn.co/image/c9f235c9992af8d60a16035a0f0973fb70b6a859,0.0,0.0,[25458],[54]
2020-11-24,670UISOh9XV1zlq5z5IfoY,GOLDHOUSE,"indie poptimism, pop edm",14537,61,https://i.scdn.co/image/e26606cfed2a10ee5272ba83e83b89631a57089a,0.0,0.0,[14537],[61]
2020-11-25,670UISOh9XV1zlq5z5IfoY,GOLDHOUSE,"indie poptimism, pop edm",14542,61,https://i.scdn.co/image/e26606cfed2a10ee5272ba83e83b89631a57089a,0.03,0.0,"[14542, 14537]","[61, 61]"
2020-11-26,670UISOh9XV1zlq5z5IfoY,GOLDHOUSE,"indie poptimism, pop edm",14546,61,https://i.scdn.co/image/e26606cfed2a10ee5272ba83e83b89631a57089a,0.06,0.0,"[14546, 14537, 14542]","[61, 61, 61]"
2020-11-27,670UISOh9XV1zlq5z5IfoY,GOLDHOUSE,"indie poptimism, pop edm",14555,61,https://i.scdn.co/image/e26606cfed2a10ee5272ba83e83b89631a57089a,0.12,0.0,"[14555, 14537, 14542, 14546]","[61, 61, 61, 61]"
2020-11-28,670UISOh9XV1zlq5z5IfoY,GOLDHOUSE,"indie poptimism, pop edm",14563,61,https://i.scdn.co/image/e26606cfed2a10ee5272ba83e83b89631a57089a,0.18,0.0,"[14563, 14537, 14542, 14546, 14555]","[61, 61, 61, 61, 61]"
2020-11-29,670UISOh9XV1zlq5z5IfoY,GOLDHOUSE,"indie poptimism, pop edm",14567,61,https://i.scdn.co/image/e26606cfed2a10ee5272ba83e83b89631a57089a,0.21,0.0,"[14567, 14537, 14542, 14546, 14555, 14563]","[61, 61, 61, 61, 61, 61]"
2020-12-08,670UISOh9XV1zlq5z5IfoY,GOLDHOUSE,pop edm,14665,59,https://i.scdn.co/image/e26606cfed2a10ee5272ba83e83b89631a57089a,0.88,-3.28,"[14665, 14537, 14542, 14546, 14555, 14563, 14567]","[59, 61, 61, 61, 61, 61, 61]"
2020-12-08,67EIyEDrwSKLR0gL3bPO3u,Sub Scriptum,,251,11,https://i.scdn.co/image/053167b89de3c909159775343acf738394a5141d,0.0,0.0,[251],[11]
2020-12-08,67OFzndMlzj7cDF2BqnwYe,Maranatha! Music,"christian music, christian relaxative, classic praise, messianic praise, world worship, worship",46618,55,https://i.scdn.co/image/8c893c552ce144116345c67de09a188e778c8cf3,0.0,0.0,[46618],[55]
2020-12-08,67tgMwUfnmqzYsNAtnP6YJ,Groove Armada,"big beat, disco house, electronica, new rave, nu jazz, nu skool breaks, trip hop",491031,61,https://i.scdn.co/image/0377bcad92a02799e27e8ec95e4efb99e5094a82,0.0,0.0,[491031],[61]
2020-12-08,69cjjIQEN8M6heOBT2SqZE,Wun Two,"chillhop, lo-fi beats",64062,65,https://i.scdn.co/image/1a3cef8a4802a2d3224509707379b18bcc1da633,0.0,0.0,[64062],[65]
2020-12-08,69lxxQvsfAIoQbB20bEPFC,Philip Glass,"american contemporary classical, classical, compositional ambient, contemporary classical, minimalism, soundtrack",439127,65,https://i.scdn.co/image/4d7fc584ddc462bfdabe6ac8926d47cc4336b028,0.0,0.0,[439127],[65]
2020-12-08,6AMa1VFQ7qCi61tCRtVWXe,Jim Jones,"gangster rap, harlem hip hop, hip hop, pop rap, rap, trap",405175,59,https://i.scdn.co/image/10412f2e4d9cbeadf0d168806b283adf7b02ee09,0.0,0.0,[405175],[59]
2020-11-24,6ASri4ePR7RlsvIQgWPJpS,iann dior,"melodic rap, pop rap",831776,91,https://i.scdn.co/image/0af59dc69f23f2844102eb3ccd5c0c00de792b0a,0.0,0.0,[831776],[91]
2020-11-25,6ASri4ePR7RlsvIQgWPJpS,iann dior,"melodic rap, pop rap",834270,91,https://i.scdn.co/image/0af59dc69f23f2844102eb3ccd5c0c00de792b0a,0.3,0.0,"[834270, 831776]","[91, 91]"
2020-11-26,6ASri4ePR7RlsvIQgWPJpS,iann dior,"melodic rap, pop rap",836575,91,https://i.scdn.co/image/0af59dc69f23f2844102eb3ccd5c0c00de792b0a,0.58,0.0,"[836575, 831776, 834270]","[91, 91, 91]"
2020-11-27,6ASri4ePR7RlsvIQgWPJpS,iann dior,"melodic rap, pop rap",838788,91,https://i.scdn.co/image/0af59dc69f23f2844102eb3ccd5c0c00de792b0a,0.84,0.0,"[838788, 831776, 834270, 836575]","[91, 91, 91, 91]"
2020-11-28,6ASri4ePR7RlsvIQgWPJpS,iann dior,"melodic rap, pop rap",840513,91,https://i.scdn.co/image/0af59dc69f23f2844102eb3ccd5c0c00de792b0a,1.05,0.0,"[840513, 831776, 834270, 836575, 838788]","[91, 91, 91, 91, 91]"
2020-11-29,6ASri4ePR7RlsvIQgWPJpS,iann dior,"melodic rap, pop rap",842497,91,https://i.scdn.co/image/0af59dc69f23f2844102eb3ccd5c0c00de792b0a,1.29,0.0,"[842497, 831776, 834270, 836575, 838788, 840513]","[91, 91, 91, 91, 91, 91]"
2020-12-08,6ASri4ePR7RlsvIQgWPJpS,iann dior,"melodic rap, pop rap",870382,88,https://i.scdn.co/image/0af59dc69f23f2844102eb3ccd5c0c00de792b0a,4.64,-3.3,"[870382, 831776, 834270, 836575, 838788, 840513, 842497]","[88, 91, 91, 91, 91, 91, 91]"
2020-12-08,6AyATGg7mDgBlZ4N5uNog0,SYML,"indie cafe pop, pop",316021,70,https://i.scdn.co/image/778bec4e739bff44bbd17ef1e2d5b7b7f8d93529,0.0,0.0,[316021],[70]
2020-12-08,6B16XZWuJ9VERn7pXxCIda,8Ball,"crunk, deep southern trap, dirty south rap, gangster rap, memphis hip hop, southern hip hop, trap",293560,55,https://i.scdn.co/image/ab67616d0000b273b16168591383ea130abaa6a7,0.0,0.0,[293560],[55]
2020-11-24,6BF0bXbsdujMSMeFZBGcBq,Thomas Bergersen,"epicore, soundtrack, video game music",172450,70,https://i.scdn.co/image/821040496f31cebb75daec6bedc2c5fd9020b259,0.0,0.0,[172450],[70]
2020-11-25,6BF0bXbsdujMSMeFZBGcBq,Thomas Bergersen,"epicore, soundtrack, video game music",172568,70,https://i.scdn.co/image/821040496f31cebb75daec6bedc2c5fd9020b259,0.07,0.0,"[172568, 172450]","[70, 70]"
2020-11-26,6BF0bXbsdujMSMeFZBGcBq,Thomas Bergersen,"epicore, soundtrack, video game music",172669,70,https://i.scdn.co/image/821040496f31cebb75daec6bedc2c5fd9020b259,0.13,0.0,"[172669, 172450, 172568]","[70, 70, 70]"
2020-11-27,6BF0bXbsdujMSMeFZBGcBq,Thomas Bergersen,"epicore, soundtrack, video game music",172760,70,https://i.scdn.co/image/821040496f31cebb75daec6bedc2c5fd9020b259,0.18,0.0,"[172760, 172450, 172568, 172669]","[70, 70, 70, 70]"
2020-11-28,6BF0bXbsdujMSMeFZBGcBq,Thomas Bergersen,"epicore, soundtrack, video game music",172855,70,https://i.scdn.co/image/821040496f31cebb75daec6bedc2c5fd9020b259,0.23,0.0,"[172855, 172450, 172568, 172669, 172760]","[70, 70, 70, 70, 70]"
